ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
AAPL,36.442356,29.694988,54.47004,9.694585,28.275,,1.7142199,0.22964,0.26915002,0.31647,0.46905,152.411,0.893,0.771,0.079,0.912,4034508095488,7.46,9.15508,4.991,0.38,1.107,Technology,2026-01-01
MSFT,34.44587,25.803553,9.902129,12.235129,21.879,,0.32241002,0.14656,0.35707,0.48873,0.68764,33.154,1.401,1.254,0.184,0.127,3594827857920,14.04,18.74238,48.84,0.75,1.07,Technology,2026-01-01
NVDA,46.277912,24.648577,38.123466,24.263477,39.996,,1.07359,0.53528,0.53007,0.63168997,0.7005,9.102,4.468,3.605,0.625,0.667,4540715761664,4.03,7.56636,4.892,0.02,2.284,Technology,2026-01-01
GOOGL,30.86785,27.957586,9.7711735,9.834838,25.713,,0.3545,0.16275999,0.32233003,0.30512,0.59172,11.424,1.747,1.563,0.159,0.353,3791094022144,10.14,11.19553,32.033,0.27,1.07,Technology,2026-01-01
META,29.233395,21.70026,8.574824,8.781762,17.126,,0.32643002,0.18013,0.30892,0.40075,0.82013,26.311,1.978,1.671,0.262,-0.826,1663775145984,22.58,30.41853,76.98,0.32,1.273,Technology,2026-01-01
AVGO,72.71008,24.719646,5.8442106,25.68527,4.947,,0.31048,0.09788,0.36198002,0.31765,0.77325994,166.032,1.705,1.53,0.164,1.881,1640954855424,4.76,14.00101,59.221,0.74,1.204,Technology,2026-01-01
ORCL,36.63722,24.477879,18.696404,9.17795,25.854,,0.69026,0.06864,0.25280002,0.31997,0.68543,432.511,0.909,0.773,0.142,0.909,560001777664,5.32,7.9627,10.425,1.01,1.659,Technology,2026-01-01
CSCO,29.741314,17.222452,6.4714775,5.275111,20.398,,0.22418,0.06646,0.17902,0.23604,0.64847,63.228,0.927,0.718,0.075,0.06,304352821248,2.59,4.47265,11.903,2.12,0.864,Technology,2026-01-01
ADBE,20.944944,13.293123,12.556596,6.2461925,15.396,,0.55426,0.18221001,0.29997,0.36503,0.89268,57.197,0.996,0.876,0.105,0.172,148465745920,16.71,26.32865,27.873,,1.54,Technology,2026-01-01
CRM,35.321335,20.193697,4.1576033,6.255285,21.14,,0.12184,0.059499998,0.17913,0.23862,0.77729,19.385,0.984,0.785,0.086,0.386,252194324480,7.5,13.11845,63.717,0.63,1.253,Technology,2026-01-01
AMD,111.54167,33.15807,5.7354045,10.886482,57.352,,0.05317,0.025980001,0.10323,0.13736,0.51457,6.366,2.308,1.176,0.356,0.603,348661383168,1.92,6.45876,37.34,,1.927,Technology,2026-01-01
INTC,615.00006,61.965782,1.6532259,3.293718,19.536,,0.0018600001,-0.00463,0.0037099998,0.06284,0.33023,39.881,1.602,1.057,0.028,,176013000704,0.06,0.59549,22.32,,1.344,Technology,2026-01-01
IBM,35.263096,24.292372,9.922285,4.2334776,22.214,,0.30156,0.051370002,0.120900005,0.1717,0.57808995,237.831,0.932,0.775,0.091,,276877901824,8.4,12.19354,29.853,2.22,0.689,Technology,2026-01-01
NOW,92.84243,37.5416,14.068326,12.557913,62.872,,0.16813,0.056500003,0.13665,0.16789,0.78053004,21.255,1.063,0.885,0.218,0.159,159071076352,1.65,4.08054,10.889,,0.972,Technology,2026-01-01
QCOM,34.073708,13.759358,8.662952,4.167712,13.68,,0.2334,0.14713,0.12512,0.26235,0.55429,73.767,2.816,1.582,0.1,,184562958336,5.02,12.43154,19.745,2.05,1.214,Technology,2026-01-01
TXN,31.601095,28.107018,9.484474,9.135076,21.529,,0.29757,0.10697,0.29208001,0.36736,0.57483,84.477,4.45,2.806,0.142,0.007,157726212096,5.49,6.17248,18.292,3.24,0.989,Technology,2026-01-01
AMAT,29.67552,22.193453,9.98252,7.2169037,22.873,,0.35508,0.15045999,0.24669,0.28441,0.48675,34.533,2.61,1.72,-0.035,0.133,204729122816,8.66,11.57954,25.744,0.71,1.666,Technology,2026-01-01
INTU,45.55846,25.094395,9.548121,9.489925,,,0.21987,0.09776,0.21191,0.15697,0.80728996,,1.386,0.573,0.41,-0.185,184417730560,14.54,26.39713,69.377,0.67,1.267,Technology,2026-01-01
PANW,115.84905,42.459415,14.71011,13.183657,91.467,,0.15324001,0.03179,0.11687,0.12005,0.73467004,4.951,0.985,0.848,0.157,-0.041,128387399680,1.59,4.33826,12.522,,0.786,Technology,2026-01-01
